Country,Capital,Capital_Latitude,Capital_Longitude,Timezone,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
,,,,,,,,,,,,,,,,,,,,,
Somaliland,Hargeisa,9.55,44.05,Africa/Mogadishu,1563695810,Windy and Overcast,cloudy,0,0,77.52,77.52,57.01,0.49,1007.31,28.75,35.75,241,0.94,6,6.216,269.9
,,,,,,,,,,,,,,,,,,,,,
South Georgia and South Sandwich Islands,King Edward Point,-54.283333,-36.5,Atlantic/South_Georgia,1563695813,Partly Cloudy,partly-cloudy-night,0,0.006,0.25,rain,30.49,19.74,25.43,0.81,994.15,14.77,18.43,235,0.35,0
,,,,,,,,,,,,,,,,,,,,,
French Southern and Antarctic Lands,Port-aux-Français,-49.35,70.216667,Indian/Kerguelen,1563695815,Possible Light Rain,rain,0,0.04,0.62,rain,42.42,35.92,40.98,0.95,991.54,11.89,21.98,312,1,1
,,,,,,,,,,,,,,,,,,,,,
Palestine,Jerusalem,31.76666667,35.233333,Asia/Jerusalem,1563695817,Partly Cloudy,partly-cloudy-day,0,0,78.89,79.26,63.43,0.59,1010.14,0.01,6.61,288,0.26,8,6.216,286.9
,,,,,,,,,,,,,,,,,,,,,
Aland Islands,Mariehamn,60.116667,19.9,Europe/Mariehamn,1563695819,Clear,clear-day,0,0,70.53,70.53,51.68,0.51,1015.92,13.89,16.43,142,0.11,4,6.216,329.1
,,,,,,,,,,,,,,,,,,,,,
Nauru,Yaren,-0.5477,166.920867,Pacific/Nauru,1563695820,Humid and Partly Cloudy,partly-cloudy-night,0,0,84.63,91.03,72.74,0.68,1008.34,5.54,6.76,107,0.36,0,10,254.4
,,,,,,,,,,,,,,,,,,,,,
Saint Martin,Marigot,18.0731,-63.0822,America/Marigot,1563695823,Humid and Partly Cloudy,partly-cloudy-night,0,0.007,0.1,rain,82.02,87.4,72.96,0.74,1015.02,10.35,19.94,79,0.27,0
,,,,,,,,,,,,,,,,,,,,,
Tokelau,Atafu,-9.166667,-171.833333,Pacific/Fakaofo,1563695824,Humid and Mostly Cloudy,partly-cloudy-night,0,0.077,0.27,rain,83.52,91.58,75.46,0.77,1009.64,10.21,11.02,95,0.63,0
,,,,,,,,,,,,,,,,,,,,,
Western Sahara,El-Aaiún,27.153611,-13.203333,Africa/El_Aaiun,1563695826,Overcast,cloudy,0,0,69.74,70.08,62.51,0.78,1017.95,20.49,21.02,30,1,1,6.216,298.7
,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Kabul,34.51666667,69.183333,Asia/Kabul,1563695828,Partly Cloudy,partly-cloudy-day,0,0,93.74,93.74,38.47,0.15,1003.29,10.03,10.7,351,0.19,11,6.216,282.1
,,,,,,,,,,,,,,,,,,,,,
Albania,Tirana,41.31666667,19.816667,Europe/Tirane,1563695830,Clear,clear-day,0,0,80.99,82.27,62.96,0.54,1019.37,2.3,3.46,261,0,6,6.216,316.9
,,,,,,,,,,,,,,,,,,,,,
Algeria,Algiers,36.75,3.05,Africa/Algiers,1563695832,Humid,clear-day,0,0,0,79.17,83.4,75.88,0.9,1015.95,11.33,11.33,317,0,3,6.12
,,,,,,,,,,,,,,,,,,,,,
American Samoa,Pago Pago,-14.26666667,-170.7,Pacific/Apia,1563695833,Humid,clear-night,0,0,77.34,78.88,73.26,0.87,1010.36,0.91,4.54,293,0.11,0,9.997,243.8
,,,,,,,,,,,,,,,,,,,,,
Andorra,Andorra la Vella,42.5,1.516667,Europe/Andorra,1563695835,Clear,clear-day,0,0,73.8,73.8,45.83,0.37,1021.87,3.06,6.59,176,0,3,10,310.8
,,,,,,,,,,,,,,,,,,,,,
